CustomerID,Age,Gender,Category,ItemPurchased,Amount,Season,PaymentMethod,ItemRating,DiscountApplied(%),PreviousPurchases,CustomerSegment
1,58,Female,Accessories,Handbag,115.5,Autumn,Card,3.5,18,4,1
2,40,Male,Mens Clothing,Shirt,103.43,Spring,Card,4.1,13,4,0
3,66,Female,Sports,Football,35.45,Spring,Card,3.3,11,3,1
4,39,Female,Accessories,Handbag,153.31,Spring,Card,4.4,13,4,0
5,23,Female,Home,Curtains,151.43,Winter,Card,4.1,20,10,0
6,48,Male,Groceries,Snacks,36.76,Autumn,Card,2.5,14,2,0
7,54,Male,Electronics,Mobile Phone,1396.16,Autumn,Card,4.7,18,4,2
8,59,Female,Beauty,Perfume,35.55,Summer,Card,4.6,14,7,1
9,51,Male,Electronics,Smart Watch,2238.79,Spring,Card,4.3,20,5,2
10,47,Female,Footwear,Formal Shoes,225.49,Spring,Card,4.7,18,4,1
11,32,Male,Mens Clothing,T-Shirt,120.8,Spring,Card,3.2,8,4,0
12,31,Female,Accessories,Handbag,43.69,Summer,Card,3.6,8,4,0
13,21,Male,Sports,Yoga Mat,79.46,Winter,Cash on Delivery,3.8,16,8,0
14,22,Female,Footwear,Sandals,189.34,Summer,Card,2.9,10,5,0
15,47,Male,Sports,Dumbbells,222.4,Winter,Card,3.9,12,6,1
16,60,Male,Sports,Dumbbells,217.67,Spring,Card,4.6,27,11,1
17,54,Female,Footwear,Sneakers,43.8,Spring,Cash on Delivery,2.9,20,5,1
18,57,Female,Womens Clothing,Jeans,137.29,Autumn,Card,3.4,22,6,1
19,68,Female,Home,Lamp,105.48,Autumn,Card,4.5,14,7,1
20,22,Female,Womens Clothing,Skirt,173.52,Summer,Card,3.6,18,4,0
21,61,Female,Footwear,Sneakers,68.69,Autumn,Card,4.9,22,6,1
22,65,Female,Sports,Dumbbells,31.21,Spring,Cash on Delivery,3.8,14,7,1
23,25,Male,Sports,Football,142.5,Autumn,Card,5.0,13,4,0
24,35,Male,Mens Clothing,Jeans,36.98,Summer,Card,4.2,13,4,0
25,28,Female,Womens Clothing,Top,56.59,Winter,Card,4.1,26,8,0
26,41,Male,Sports,Football,46.19,Winter,Cash on Delivery,3.3,11,3,0
27,58,Female,Home,Lamp,137.6,Autumn,Card,3.7,11,3,1
28,24,Male,Sports,Yoga Mat,30.97,Autumn,Card,4.4,20,10,0
29,50,Female,Sports,Yoga Mat,178.68,Spring,Card,3.7,11,3,1
30,69,Male,Sports,Football,205.78,Autumn,Card,2.7,22,6,1
31,43,Male,Electronics,Smart Watch,1572.49,Autumn,Card,3.5,14,7,2
32,33,Male,Footwear,Formal Shoes,172.69,Spring,Card,4.6,19,7,0
33,58,Female,Beauty,Perfume,135.4,Spring,Card,3.7,9,2,1
34,26,Female,Womens Clothing,Dress,169.72,Autumn,Card,3.8,14,2,0
35,67,Male,Sports,Football,238.13,Winter,Card,3.3,17,6,1
36,32,Female,Womens Clothing,Jeans,50.2,Winter,Cash on Delivery,2.4,12,6,0
37,25,Female,Groceries,Rice Pack,29.2,Summer,Cash on Delivery,5.0,8,4,0
38,50,Male,Mens Clothing,Jacket,183.2,Autumn,Card,3.9,8,4,1
39,47,Female,Womens Clothing,Jeans,129.22,Winter,Card,3.7,14,7,1
40,66,Male,Sports,Yoga Mat,219.86,Spring,Card,4.0,2,1,1
41,20,Female,Beauty,Perfume,97.24,Spring,Card,4.1,19,7,0
42,22,Male,Electronics,Laptop,2392.7,Winter,Card,5.0,6,3,2
43,23,Female,Footwear,Formal Shoes,115.21,Summer,Card,4.2,19,7,0
44,66,Male,Electronics,Mobile Phone,2260.2,Spring,Card,4.6,9,2,2
45,53,Female,Accessories,Sunglasses,164.67,Autumn,Card,2.6,14,7,1
46,24,Female,Womens Clothing,Dress,65.55,Autumn,Card,3.7,14,7,0
47,22,Male,Mens Clothing,Shirt,62.69,Winter,Card,3.6,4,2,0
48,31,Female,Beauty,Makeup Set,62.91,Autumn,Card,3.5,18,4,0
49,36,Female,Footwear,Sneakers,165.43,Summer,Card,4.6,24,7,0
50,42,Female,Footwear,Sneakers,222.12,Winter,Card,3.2,18,4,0
51,36,Male,Home,Lamp,270.44,Winter,Card,2.3,12,6,0
52,25,Female,Womens Clothing,Skirt,90.54,Autumn,Cash on Delivery,4.6,18,4,0
53,49,Male,Home,Kitchen Set,45.03,Summer,Cash on Delivery,3.9,4,2,1
54,25,Female,Footwear,Formal Shoes,180.42,Autumn,Card,3.9,22,6,0
55,52,Female,Accessories,Handbag,117.7,Winter,Card,3.1,8,4,1
56,42,Female,Beauty,Makeup Set,31.42,Summer,Card,2.0,2,1,0
57,43,Female,Womens Clothing,Skirt,188.02,Autumn,Card,4.2,17,6,0
58,49,Male,Groceries,Snacks,54.89,Summer,Card,4.4,19,7,1
59,34,Male,Electronics,Headphones,1459.73,Spring,Card,4.0,24,7,2
60,58,Male,Mens Clothing,Shirt,82.99,Spring,Cash on Delivery,4.4,9,2,1
61,24,Male,Mens Clothing,Jeans,121.2,Summer,Card,4.3,12,6,0
62,55,Female,Accessories,Handbag,152.29,Winter,Card,4.7,15,5,1
63,59,Female,Groceries,Snacks,59.46,Winter,Cash on Delivery,4.0,18,4,1
64,70,Male,Groceries,Cooking Oil,73.3,Winter,Card,2.9,9,2,1
65,20,Male,Footwear,Sandals,123.79,Spring,Card,3.5,6,3,0
66,30,Female,Womens Clothing,Skirt,155.38,Summer,Card,3.0,6,3,0
67,25,Male,Electronics,Laptop,1951.47,Autumn,Card,3.8,14,2,2
68,41,Female,Footwear,Sneakers,102.92,Spring,Card,4.0,12,6,0
69,35,Female,Beauty,Makeup Set,112.83,Spring,Card,3.8,10,5,0
70,29,Male,Sports,Football,30.71,Autumn,Card,3.7,16,3,0
71,42,Male,Sports,Yoga Mat,101.34,Spring,Card,3.0,32,11,0
72,20,Male,Footwear,Formal Shoes,213.27,Winter,Card,5.0,11,3,0
73,53,Male,Sports,Yoga Mat,196.81,Winter,Card,4.4,17,6,1
74,58,Male,Sports,Yoga Mat,246.49,Autumn,Card,4.5,11,3,1
75,40,Female,Womens Clothing,Top,124.21,Summer,Card,3.0,6,3,0
76,59,Female,Beauty,Skincare Kit,42.8,Winter,Card,3.1,13,4,1
77,70,Male,Mens Clothing,Shirt,96.18,Autumn,Card,2.7,20,5,1
78,38,Male,Electronics,Mobile Phone,2888.09,Winter,Card,3.6,8,4,2
79,62,Female,Accessories,Sunglasses,151.06,Autumn,Card,4.1,20,5,1
80,35,Female,Accessories,Handbag,141.45,Autumn,Card,5.0,19,7,0
81,26,Male,Groceries,Cooking Oil,73.66,Spring,Card,4.7,11,3,0
82,58,Male,Mens Clothing,Jacket,36.29,Autumn,Card,3.4,6,3,1
83,45,Male,Footwear,Sandals,208.84,Summer,Card,4.4,18,9,1
84,58,Female,Womens Clothing,Dress,98.33,Spring,Card,4.1,26,8,1
85,49,Female,Womens Clothing,Dress,37.16,Summer,Cash on Delivery,3.7,16,3,1
86,65,Female,Beauty,Makeup Set,41.71,Winter,Card,3.3,19,7,1
87,22,Female,Beauty,Makeup Set,145.98,Summer,Card,3.5,24,7,0
88,44,Male,Electronics,Mobile Phone,1643.58,Autumn,Card,3.2,11,3,2
89,61,Male,Electronics,Laptop,2338.03,Spring,Card,3.8,14,2,2
90,56,Female,Groceries,Rice Pack,68.84,Summer,Cash on Delivery,5.0,19,7,1
91,35,Female,Accessories,Sunglasses,45.66,Spring,Cash on Delivery,4.6,18,4,0
92,51,Male,Footwear,Sandals,40.24,Winter,Card,3.8,18,4,1
93,36,Female,Footwear,Sneakers,203.77,Spring,Card,4.4,19,7,0
94,20,Female,Accessories,Wallet,159.45,Winter,Card,4.6,20,5,0
95,25,Male,Footwear,Sandals,183.49,Autumn,Card,3.5,20,5,0
96,21,Male,Mens Clothing,Jacket,76.45,Summer,Card,4.4,12,6,0
97,20,Female,Accessories,Wallet,54.1,Summer,Card,4.1,16,3,0
98,65,Female,Accessories,Handbag,41.0,Autumn,Cash on Delivery,4.0,10,5,1
99,39,Female,Footwear,Sneakers,73.77,Spring,Card,3.5,17,6,0
100,51,Male,Electronics,Smart Watch,2449.63,Autumn,Card,1.9,4,2,2
101,65,Female,Home,Curtains,86.79,Spring,Cash on Delivery,3.6,12,6,1
102,58,Female,Womens Clothing,Skirt,64.03,Summer,Card,3.2,13,4,1
103,50,Female,Footwear,Formal Shoes,171.31,Autumn,Card,5.0,21,8,1
104,42,Female,Groceries,Snacks,21.44,Autumn,Card,3.6,19,7,0
105,60,Male,Mens Clothing,Jacket,145.64,Winter,Card,3.3,2,1,1
106,50,Female,Footwear,Sneakers,112.65,Spring,Card,3.9,10,5,1
107,55,Female,Footwear,Formal Shoes,177.55,Summer,Card,4.2,17,6,1
108,61,Female,Womens Clothing,Skirt,100.22,Summer,Card,3.8,4,2,1
109,33,Female,Footwear,Formal Shoes,60.0,Summer,Card,3.3,8,4,0
110,66,Male,Footwear,Formal Shoes,75.65,Winter,Card,4.0,14,7,1
111,66,Male,Electronics,Laptop,2263.46,Autumn,Card,3.8,13,4,2
112,45,Male,Footwear,Formal Shoes,77.8,Winter,Cash on Delivery,3.2,9,2,0
113,69,Female,Womens Clothing,Top,84.93,Autumn,Cash on Delivery,4.6,17,6,1
114,27,Female,Sports,Football,124.84,Spring,Card,3.2,20,10,0
115,23,Male,Footwear,Formal Shoes,122.71,Summer,Card,3.4,8,4,0
116,60,Male,Electronics,Mobile Phone,1317.58,Winter,Card,4.2,26,8,2
117,31,Female,Beauty,Perfume,70.51,Spring,Cash on Delivery,4.2,18,4,0
118,28,Male,Sports,Yoga Mat,132.82,Autumn,Card,2.9,9,2,0
119,56,Male,Footwear,Sandals,200.63,Summer,Card,4.0,18,4,1
120,34,Female,Womens Clothing,Skirt,47.24,Spring,Cash on Delivery,4.1,15,5,0
121,37,Female,Footwear,Formal Shoes,65.6,Winter,Cash on Delivery,3.2,15,5,0
122,63,Female,Accessories,Sunglasses,20.41,Autumn,Cash on Delivery,3.7,17,6,1
123,35,Male,Electronics,Smart Watch,1187.02,Autumn,Card,3.5,15,5,2
124,53,Male,Electronics,Mobile Phone,559.1,Autumn,Card,3.4,17,6,1
125,54,Male,Footwear,Formal Shoes,129.92,Winter,Card,4.2,13,4,1
126,65,Female,Groceries,Beverages,19.39,Spring,Cash on Delivery,3.4,6,3,1
127,24,Female,Beauty,Makeup Set,97.07,Autumn,Cash on Delivery,2.4,13,4,0
128,55,Male,Sports,Dumbbells,70.21,Spring,Cash on Delivery,3.4,18,4,1
129,64,Male,Sports,Yoga Mat,248.31,Winter,Card,3.7,19,7,1
130,21,Male,Sports,Football,149.61,Autumn,Card,3.6,21,8,0
131,66,Male,Home,Lamp,132.77,Spring,Card,3.5,17,6,1
132,39,Female,Beauty,Makeup Set,37.23,Winter,Card,3.4,14,7,0
133,53,Female,Footwear,Sneakers,88.84,Summer,Cash on Delivery,1.8,16,3,1
134,25,Female,Womens Clothing,Top,140.53,Spring,Card,3.9,11,3,0
135,30,Female,Sports,Football,121.83,Autumn,Card,3.5,16,3,0
136,23,Male,Electronics,Headphones,1052.01,Autumn,Card,4.1,24,7,0
137,41,Female,Groceries,Cooking Oil,77.29,Winter,Card,3.9,18,4,0
138,40,Female,Beauty,Skincare Kit,124.2,Spring,Card,3.1,17,6,0
139,23,Female,Footwear,Formal Shoes,139.96,Autumn,Card,4.1,18,9,0
140,59,Male,Footwear,Formal Shoes,121.13,Summer,Card,3.6,10,5,1
141,56,Female,Groceries,Snacks,58.72,Autumn,Card,2.6,2,1,1
142,34,Male,Sports,Dumbbells,64.17,Autumn,Card,3.0,8,4,0
143,59,Male,Footwear,Formal Shoes,42.19,Spring,Cash on Delivery,3.2,4,2,1
144,40,Female,Footwear,Formal Shoes,166.4,Autumn,Card,3.8,14,7,0
145,33,Female,Womens Clothing,Top,76.54,Summer,Card,4.2,6,3,0
146,68,Female,Womens Clothing,Dress,158.36,Spring,Card,3.6,23,9,1
147,48,Male,Footwear,Formal Shoes,84.84,Summer,Card,4.7,26,8,1
148,27,Female,Footwear,Sneakers,195.76,Summer,Card,4.0,17,6,0
149,46,Male,Sports,Football,146.21,Summer,Card,3.6,8,4,0
150,35,Male,Mens Clothing,T-Shirt,115.35,Winter,Card,4.1,13,4,0
151,57,Male,Sports,Football,31.54,Winter,Cash on Delivery,5.0,16,3,1
152,35,Female,Footwear,Formal Shoes,142.19,Spring,Card,3.6,16,3,0
153,38,Female,Footwear,Formal Shoes,246.21,Autumn,Card,3.1,8,4,0
154,68,Male,Footwear,Sandals,194.06,Spring,Card,3.8,18,4,1
155,66,Female,Accessories,Handbag,172.05,Winter,Card,2.5,17,6,1
156,38,Female,Womens Clothing,Skirt,94.08,Summer,Cash on Delivery,4.1,22,6,0
157,20,Female,Womens Clothing,Dress,57.01,Summer,Card,3.1,15,5,0
158,47,Female,Footwear,Formal Shoes,130.07,Spring,Card,3.1,13,4,1
159,62,Male,Mens Clothing,Shirt,161.22,Autumn,Card,4.7,18,4,1
160,33,Male,Electronics,Mobile Phone,862.41,Spring,Card,3.5,12,6,0
161,23,Male,Footwear,Formal Shoes,157.86,Spring,Card,5.0,13,4,0
162,25,Female,Beauty,Skincare Kit,142.94,Autumn,Card,4.5,17,6,0
163,29,Male,Sports,Football,70.31,Summer,Cash on Delivery,3.0,8,4,0
164,60,Female,Womens Clothing,Dress,34.62,Summer,Card,4.2,20,5,1
165,69,Male,Footwear,Sandals,82.79,Summer,Cash on Delivery,5.0,21,8,1
166,35,Male,Footwear,Formal Shoes,75.46,Autumn,Card,2.5,16,3,0
167,49,Female,Accessories,Handbag,148.58,Summer,Card,4.3,26,8,1
168,52,Female,Womens Clothing,Top,43.5,Autumn,Cash on Delivery,3.4,24,7,1
169,28,Male,Mens Clothing,Jacket,179.57,Winter,Card,3.2,6,3,0
170,70,Male,Sports,Football,122.99,Autumn,Card,3.4,10,5,1
171,53,Female,Footwear,Sandals,76.73,Autumn,Cash on Delivery,5.0,24,7,1
172,36,Male,Sports,Football,227.24,Summer,Card,3.4,14,2,0
173,53,Female,Womens Clothing,Jeans,94.87,Winter,Cash on Delivery,3.6,13,4,1
174,38,Female,Womens Clothing,Skirt,166.83,Winter,Card,4.1,16,3,0
175,38,Male,Sports,Yoga Mat,52.06,Winter,Card,2.3,4,2,0
176,54,Male,Mens Clothing,Shirt,38.18,Winter,Cash on Delivery,3.5,12,6,1
177,67,Female,Accessories,Wallet,156.91,Summer,Card,3.3,8,4,1
178,36,Female,Beauty,Skincare Kit,110.28,Spring,Card,3.8,16,3,0
179,48,Female,Accessories,Wallet,114.67,Winter,Card,3.5,8,4,1
180,20,Female,Womens Clothing,Top,73.25,Winter,Card,2.5,11,3,0
181,48,Male,Sports,Yoga Mat,162.43,Summer,Card,3.4,11,3,1
182,40,Male,Mens Clothing,Jeans,79.89,Summer,Card,4.4,18,4,0
183,60,Male,Footwear,Formal Shoes,248.49,Autumn,Card,4.2,6,3,1
184,52,Male,Sports,Yoga Mat,187.31,Winter,Card,4.7,7,1,1
185,66,Male,Home,Curtains,60.91,Winter,Card,4.0,8,4,1
186,60,Female,Accessories,Handbag,21.62,Spring,Cash on Delivery,3.8,19,7,1
187,36,Male,Footwear,Sandals,142.06,Autumn,Card,3.5,4,2,0
188,57,Female,Accessories,Wallet,84.62,Autumn,Card,2.8,18,4,1
189,63,Male,Footwear,Sandals,162.26,Autumn,Card,3.5,12,6,1
190,38,Male,Mens Clothing,T-Shirt,31.14,Summer,Card,4.4,19,7,0
191,23,Male,Groceries,Cooking Oil,7.07,Spring,Cash on Delivery,3.7,18,4,0
192,56,Female,Home,Lamp,157.98,Winter,Card,4.8,10,5,1
193,51,Female,Beauty,Skincare Kit,82.12,Winter,Card,3.2,13,4,1
194,65,Male,Sports,Dumbbells,150.48,Winter,Card,3.5,20,5,1
195,36,Male,Sports,Yoga Mat,153.11,Summer,Card,4.0,6,3,0
196,46,Male,Mens Clothing,Shirt,107.94,Spring,Card,3.8,6,3,0
197,31,Female,Sports,Yoga Mat,245.72,Winter,Card,4.1,20,5,0
198,70,Female,Beauty,Makeup Set,79.28,Winter,Card,2.0,12,6,1
199,68,Male,Footwear,Sandals,225.53,Spring,Card,4.5,13,4,1
200,29,Female,Beauty,Makeup Set,63.34,Summer,Card,4.5,17,6,0
201,20,Female,Beauty,Perfume,38.57,Spring,Card,4.6,19,7,0
202,30,Male,Mens Clothing,T-Shirt,128.1,Summer,Card,3.0,12,1,0
203,57,Female,Beauty,Perfume,129.47,Spring,Card,4.4,15,5,1
204,46,Female,Beauty,Perfume,49.38,Spring,Cash on Delivery,3.4,19,7,1
205,55,Female,Footwear,Formal Shoes,90.81,Autumn,Card,4.4,24,7,1
206,68,Male,Groceries,Cooking Oil,63.73,Winter,Card,4.5,24,7,1
207,62,Male,Mens Clothing,T-Shirt,127.21,Autumn,Card,4.9,14,7,1
208,29,Male,Groceries,Snacks,54.98,Autumn,Cash on Delivery,2.9,16,8,0
209,58,Female,Accessories,Sunglasses,37.76,Autumn,Card,3.5,14,2,1
210,50,Female,Beauty,Makeup Set,81.4,Spring,Cash on Delivery,4.9,20,5,1
211,22,Female,Footwear,Sneakers,183.26,Winter,Card,2.4,6,3,0
212,29,Female,Womens Clothing,Jeans,172.51,Autumn,Card,3.8,13,4,0
213,43,Male,Sports,Yoga Mat,141.78,Winter,Card,2.9,24,7,0
214,25,Male,Groceries,Rice Pack,62.99,Autumn,Card,2.9,16,3,0
215,32,Male,Footwear,Sneakers,154.86,Spring,Card,4.1,18,4,0
216,47,Male,Footwear,Formal Shoes,162.26,Autumn,Card,4.0,19,7,1
217,26,Female,Beauty,Makeup Set,60.97,Spring,Card,4.6,21,8,0
218,69,Female,Groceries,Beverages,52.32,Winter,Cash on Delivery,3.6,10,5,1
219,25,Female,Womens Clothing,Top,122.97,Autumn,Card,4.3,24,7,0
220,63,Female,Sports,Dumbbells,245.76,Spring,Card,4.0,13,4,1
221,45,Female,Sports,Football,229.28,Autumn,Card,4.9,16,8,1
222,43,Female,Womens Clothing,Jeans,32.06,Summer,Card,3.5,7,1,0
223,40,Female,Footwear,Formal Shoes,148.08,Winter,Card,3.7,10,5,0
224,48,Male,Sports,Football,32.34,Winter,Cash on Delivery,4.1,6,3,1
225,39,Male,Sports,Football,79.09,Winter,Card,4.0,8,4,0
226,23,Male,Sports,Dumbbells,121.19,Autumn,Card,3.2,17,6,0
227,42,Female,Womens Clothing,Jeans,64.76,Summer,Card,3.7,11,3,0
